NEW_SMILES,pIC50,Shape Index,Molecular Flexibility,Molecular Complexity
Cc1c(CN(C)C(=O)CC=c2cnc3c(c2)CC2(CCN(C)CC2)C(=O)N=3)sc2ccc(F)cc12,7.55284196865778,0.57143,0.46912,0.88665
Cc1c(CN(C)C(=O)CC=c2cnc3c(c2)CC2(CCN(C)CC2)C(=O)N=3)oc2ccccc12,7.69897000433602,0.55882,0.46198,0.87495
CCCOc1c(CN(C)C(=O)CC=c2cnc3c(c2)CC2(CCN(C)CC2)C(=O)N=3)cccc1OC,7.58502665202918,0.55556,0.53449,0.86255
CN(Cc1cc2ccccc2n1C)C(=O)CC=c1cnc2c(c1)CC1(CCNCC1)C(=O)N=2,6.87942606879415,0.54545,0.46878,0.86725
Cc1c(CN(C)C(=O)CC=c2cnc3c(c2)CC2(CCNCC2)C(=O)N=3)oc2ccccc12,7.30980391997149,0.54545,0.47161,0.87307
Cc1ccc(Cc2noc(-c3ccsc3)n2)cc1,4.29242982390206,0.66667,0.52078,0.69646
Nc1ccc(Cn2cnc(-c3ccsc3)c2)cc1,5.69250396208679,0.66667,0.52209,0.68273
Cc1ccc(Cn2cnc(-c3ccsc3)c2)cc1,6.60205999132796,0.66667,0.52209,0.68031
Cc1cccc(Cn2cnc(-c3ccsc3)c2)c1,5.37263414340727,0.61111,0.52209,0.68861
COc1ccc(Cn2cnc(-c3ccsc3)c2)cc1,5.72124639904717,0.68421,0.54402,0.68976
COc1ccc(-c2cn(Cc3ccc(C)cc3)cn2)cc1,6.44369749923271,0.71429,0.50548,0.66485
Cc1ccc(Cn2cnc(-c3cccs3)c2)cc1,5.90657831483777,0.66667,0.52209,0.68031
Cc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,6.61978875828839,0.53333,0.39188,0.86921
O=C(c1ccccc1)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,6.30980391997149,0.51724,0.3867,0.86659
CNc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,5.67778070526608,0.54839,0.40931,0.87083
O=C(O)c1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,5.06048074738138,0.53125,0.4146,0.87338
CN(Cc1cc2ccccc2n1Cc1ccc(O)cc1)C(=O)c1ccc(O)cc1,6,0.55172,0.51433,0.78531
